"","target_end_date","abbreviation","cases","location","state_name"
"488",2022-12-24,"AR",201,3,"Arkansas"
"489",2022-12-31,"AR",202,3,"Arkansas"
"490",2023-01-07,"AR",157,3,"Arkansas"
"491",2023-01-14,"AR",105,3,"Arkansas"
"492",2023-01-21,"AR",65,3,"Arkansas"
"493",2023-01-28,"AR",35,3,"Arkansas"
"494",2023-02-04,"AR",20,3,"Arkansas"
"495",2023-02-11,"AR",32,3,"Arkansas"
"496",2023-02-18,"AR",25,3,"Arkansas"
"497",2023-02-25,"AR",30,3,"Arkansas"
"498",2023-03-04,"AR",33,3,"Arkansas"
"499",2023-03-11,"AR",22,3,"Arkansas"
"500",2023-03-18,"AR",15,3,"Arkansas"
"501",2023-03-25,"AR",18,3,"Arkansas"
"502",2023-04-01,"AR",27,3,"Arkansas"
"503",2023-04-08,"AR",15,3,"Arkansas"
"504",2023-04-15,"AR",17,3,"Arkansas"
"505",2023-04-22,"AR",8,3,"Arkansas"
"506",2023-04-29,"AR",11,3,"Arkansas"
"507",2023-05-06,"AR",9,3,"Arkansas"
"508",2023-05-13,"AR",12,3,"Arkansas"
"509",2023-05-20,"AR",9,3,"Arkansas"
"510",2023-05-27,"AR",13,3,"Arkansas"
"511",2023-06-03,"AR",6,3,"Arkansas"
"512",2023-06-10,"AR",1,3,"Arkansas"
"513",2023-06-17,"AR",5,3,"Arkansas"
"514",2023-06-24,"AR",12,3,"Arkansas"
"515",2023-07-01,"AR",6,3,"Arkansas"
"516",2023-07-08,"AR",4,3,"Arkansas"
"517",2023-07-15,"AR",8,3,"Arkansas"
"518",2023-07-22,"AR",6,3,"Arkansas"
"519",2023-07-29,"AR",4,3,"Arkansas"
"520",2023-08-05,"AR",11,3,"Arkansas"
"521",2023-08-12,"AR",10,3,"Arkansas"
"522",2023-08-19,"AR",6,3,"Arkansas"
"523",2023-08-26,"AR",9,3,"Arkansas"
"524",2023-09-02,"AR",6,3,"Arkansas"
"525",2023-09-09,"AR",8,3,"Arkansas"
"526",2023-09-16,"AR",7,3,"Arkansas"
"527",2023-09-23,"AR",6,3,"Arkansas"
"528",2023-09-30,"AR",10,3,"Arkansas"
"529",2023-10-07,"AR",17,3,"Arkansas"
"530",2023-10-14,"AR",15,3,"Arkansas"
"531",2023-10-21,"AR",18,3,"Arkansas"
"532",2023-10-28,"AR",13,3,"Arkansas"
"533",2023-11-04,"AR",18,3,"Arkansas"
"534",2023-11-11,"AR",24,3,"Arkansas"
"535",2023-11-18,"AR",17,3,"Arkansas"
"536",2023-11-25,"AR",26,3,"Arkansas"
"537",2023-12-02,"AR",24,3,"Arkansas"
